migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
evs-r4-race-collar,evs-r4-race-collar,EVS R4 Race Collar,EVS R4 Race Collar,evs-r4-race-collar,"The EVS R4 is a lightweight, form fitting race collar offering protection against neck and collarbone injuries. The low profile design makes it a comfortable… • Hard molded upper surface disperses energy to the PU core. • Hi-tensile closed cell PU core absorbs impact energy. • Bio-foam liner provides extra impact absorption. • Lightweight and form fitting.","The EVS R4 is a lightweight, form fitting race collar offering protection against neck and collarbone injuries. The low profile design makes it a comfortable yet protective piece of gear you can wear on the track or on the trail.<br><br>
<h3>Features:</h3>
<ul>
<li>Hard molded upper surface disperses energy to the PU core</li>
<li>Hi-tensile closed cell PU core absorbs impact energy</li>
<li>Bio-foam liner provides extra impact absorption</li>
<li>Lightweight and form fitting</li>
<li>Rapid lock closure system for easy front entry</li>
<li>Adjustable rear strut for a customized fit</li>
</ul>","The EVS R4 is a lightweight, form fitting race collar offering protection against neck and collarbone injuries. The low profile design makes it a comfortable yet protective piece of gear you can wear on the track or on the trail.

Features:

• Hard molded upper surface disperses energy to the PU core

• Hi-tensile closed cell PU core absorbs impact energy

• Bio-foam liner provides extra impact absorption

• Lightweight and form fitting

• Rapid lock closure system for easy front entry

• Adjustable rear strut for a customized fit",17000,,2026-07-26,active,EVS,3000,g,Buy EVS R4 Race Collar | Mile 27 Store,"The EVS R4 is a lightweight, form fitting race collar offering protection against neck and collarbone injuries. The low profile design makes it a…",Hard molded upper surface disperses energy to the PU core | Hi-tensile closed cell PU core absorbs impact energy | Bio-foam liner provides extra impact absorption | Lightweight and form fitting,Cleaned noise; brand verified,High,false,Riding Gear > Protection,High,"Mapped from Shopify Type ""Protection Gears""",evs-r4-race-collar-1|Default Title|price:17000.00|compare:|weight:3000|barcode:|qty:0,evs-r4-race-collar-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evs_youth_r4_race_collar_750x750_2e70c310-3fc7-410f-9ff7-7ae74768b0bd.jpg?v=1606299061|pos:1|alt:EVS EVS R4 Race Collar – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evs_youth_r4_race_collar_750x750_1.jpg?v=1606299061|pos:2|alt:EVS EVS R4 Race Collar – side view,2,EVS EVS R4 Race Collar – front view | EVS EVS R4 Race Collar – side view,use:track,1,EVS R4 Race Collar,"EVS R4 Race Collar. The EVS R4 is a lightweight, form fitting race collar offering protection against neck and collarbone injuries.",,Bio-foam liner provides extra impact absorption. Lightweight and form fitting.,Hard molded upper surface disperses energy to the PU core. Hi-tensile closed cell PU core absorbs impact energy.,,,EVS R4 Race Collar — a protection built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evs_youth_r4_race_collar_750x750_2e70c310-3fc7-410f-9ff7-7ae74768b0bd.jpg?v=1606299061|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evs_youth_r4_race_collar_750x750_1.jpg?v=1606299061|role:construction detail,2,false,/products/evs-r4-race-collar,/products/evs-r4-race-collar
evs-rs9-knee-brace,evs-rs9-knee-brace,EVS RS9 Knee Brace - PAIR,EVS RS9 Knee Brace - PAIR,evs-rs9-knee-brace,The EVS RS9 Knee Brace offers lightweight comfort and protection. It’s constructed of a impact resistant injection molded shell with increased airflow to help keep… • FormFit frame. • Lightweight and impact resistant injection molded shell. • Provides impact protection and knee stabilization. • Tru-Motion 2.0 anatomically correct hinges. Available in multiple sizes and/or colours — select your variant.,"The EVS RS9 Knee Brace offers lightweight comfort and protection. It’s constructed of a impact resistant injection molded shell with increased airflow to help keep you performing at your best.<br><br>
<h3>Features:</h3>
<ul>
<li>FormFit frame</li>
<li>Lightweight and impact resistant injection molded shell</li>
<li>Provides impact protection and knee stabilization</li>
<li>Tru-Motion 2.0 anatomically correct hinges</li>
<li>Removable and washable moisture wicking bio-foam molded liner</li>
<li>Adjustable hyperextension lock-outs</li>
<li>Dual Defense total tracking knee cup design</li>
</ul>","The EVS RS9 Knee Brace offers lightweight comfort and protection. It’s constructed of a impact resistant injection molded shell with increased airflow to help keep you performing at your best.

Features:

• FormFit frame

• Lightweight and impact resistant injection molded shell

• Provides impact protection and knee stabilization

• Tru-Motion 2.0 anatomically correct hinges

• Removable and washable moisture wicking bio-foam molded liner

• Adjustable hyperextension lock-outs

• Dual Defense total tracking knee cup design",46999,,2026-07-26,active,EVS,3000,g,Buy EVS RS9 Knee Brace - PAIR | Mile 27 Store,The EVS RS9 Knee Brace offers lightweight comfort and protection. It’s constructed of a impact resistant injection molded shell with increased airflow to…,FormFit frame | Lightweight and impact resistant injection molded shell | Provides impact protection and knee stabilization | Tru-Motion 2.0 anatomically correct hinges,Cleaned noise; brand verified,High,false,Riding Gear > Protection > Knee Guards,High,"Mapped from Shopify Type ""KNEE BRACES AND GUARDS""",evs-rs9-knee-brace-1|Size:SM|price:46999.00|compare:|weight:3000|barcode:|qty:0 | evs-rs9-knee-brace-2|Size:MD|price:46999.00|compare:|weight:3000|barcode:|qty:0 | evs-rs9-knee-brace-3|Size:LG|price:46999.00|compare:|weight:3000|barcode:|qty:0 | evs-rs9-knee-brace-4|Size:XL|price:46999.00|compare:|weight:3000|barcode:|qty:0,"evs-rs9-knee-brace-1,evs-rs9-knee-brace-2,evs-rs9-knee-brace-3,evs-rs9-knee-brace-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_1800x1800_b57f0854-067c-4c52-9e80-41d4106caa0c.jpg?v=1649241631|pos:1|alt:EVS EVS RS9 Knee Brace - PAIR – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_1800x1800_1.jpg?v=1649241632|pos:2|alt:EVS EVS RS9 Knee Brace - PAIR – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_1800x1800_2.jpg?v=1649241631|pos:3|alt:EVS EVS RS9 Knee Brace - PAIR – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_rollover_1.jpg?v=1649241633|pos:4|alt:EVS EVS RS9 Knee Brace - PAIR – detail view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_rollover_2.jpg?v=1649241632|pos:5|alt:EVS EVS RS9 Knee Brace - PAIR – top view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_rollover.jpg?v=1649241636|pos:6|alt:EVS EVS RS9 Knee Brace - PAIR – product view,6,EVS EVS RS9 Knee Brace - PAIR – front view | EVS EVS RS9 Knee Brace - PAIR – side view | EVS EVS RS9 Knee Brace - PAIR – rear view | EVS EVS RS9 Knee Brace - PAIR – detail view | EVS EVS RS9 Knee Brace - PAIR – top view | EVS EVS RS9 Knee Brace - PAIR – product view,,0,EVS RS9 Knee Brace - PAIR,EVS RS9 Knee Brace - PAIR. The EVS RS9 Knee Brace offers lightweight comfort and protection.,Lightweight and impact resistant injection molded shell.,Lightweight and impact resistant injection molded shell.,FormFit frame. Provides impact protection and knee stabilization. Tru-Motion 2.0 anatomically correct hinges.,,Available in multiple sizes. Check the size guide before ordering.,EVS RS9 Knee Brace - PAIR — a knee Guard built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_1800x1800_b57f0854-067c-4c52-9e80-41d4106caa0c.jpg?v=1649241631|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_1800x1800_1.jpg?v=1649241632|role:construction detail || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/evsrs9_knee_brace_1800x1800_2.jpg?v=1649241631|role:side profile,3,false,/products/evs-rs9-knee-brace,/products/evs-rs9-knee-brace
