migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18,carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18,Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18,Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18,carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18,"Material:Genuine carbon fiber (A layer of gel is added onto the carbon fiber to make it more lustrous) • Come with 3M self-adhesive, easy to install.. • Include: 1pcs.","<ul>
<li>
<span>Material</span><span>:Genuine </span><span>carbon fiber </span>(<span>A layer of gel is added onto the carbon fiber to make it more lustrous)</span>
</li>
<li>Come with 3M self-adhesive, easy to install.</li>
<li>Include: 1pcs</li>
</ul>","• 
Material:Genuine carbon fiber (A layer of gel is added onto the carbon fiber to make it more lustrous)

• Come with 3M self-adhesive, easy to install.

• Include: 1pcs",9100,,2026-07-26,active,Mustang,2000,g,Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford …,"Material:Genuine carbon fiber (A layer of gel is added onto the carbon fiber to make it more lustrous) Come with 3M self-adhesive, easy to install..…","Come with 3M self-adhesive, easy to install. | Include: 1pcs",Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""car parts""",carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18-1|Default Title|price:9100.00|compare:|weight:2000|barcode:|qty:0,carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/s-l1600_64d93ace-514b-4d76-8614-5edefc91cc9e.jpg?v=1575363714|pos:1|alt:Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/s-l1600_1_d3963f69-e50d-43de-bafb-dbd741bb0953.jpg?v=1575363714|pos:2|alt:Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/s-l1600_2_aa8676b8-bf7f-403a-99ce-35c049b48144.jpg?v=1575363714|pos:3|alt:Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 – rear view,3,Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 – front view | Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 – side view | Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 – rear view,,0,Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18,"Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18. Material:Genuine carbon fiber (A layer of gel is added onto the carbon fiber to make it more lustrous) • Come with 3M self-adhesive, easy to install..",,,"Come with 3M self-adhesive, easy to install. Include: 1pcs.",,,Mustang Carbon Fiber Inner Water Cup Holder Frame Cover Trim For Ford Mustang 2015-18 — a motorcycle Accessory built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/s-l1600_64d93ace-514b-4d76-8614-5edefc91cc9e.jpg?v=1575363714|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/s-l1600_1_d3963f69-e50d-43de-bafb-dbd741bb0953.jpg?v=1575363714|role:construction detail || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/s-l1600_2_aa8676b8-bf7f-403a-99ce-35c049b48144.jpg?v=1575363714|role:side profile,3,false,/products/carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18,/products/carbon-fiber-inner-water-cup-holder-frame-cover-trim-for-ford-mustang-2015-18
mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob,mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob,Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob,Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob,mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob,"Mustang's Wide Touring solo with driver's backrest provides a full 16"" width for the driver, with deep bucket styling to keep you planted in a… • 16"" width. • Adjustable and removable backrest. • Deep bucket styling. • High-quality metal seat pan.","<p>Mustang's Wide Touring solo with driver's backrest provides a full 16"" width for the driver, with deep bucket styling to keep you planted in a comfortable cruising position. The included back rest provides perfect support for those long rides.</p>
<h3>Features:</h3>
<ul>
<li>16"" width</li>
<li>Adjustable and removable backrest</li>
<li>Deep bucket styling</li>
<li>High-quality metal seat pan</li>
<li>Recessed passenger seat available to accommodate backrest (sold separately)</li>
<li>Made in the USA</li>
</ul>","Mustang's Wide Touring solo with driver's backrest provides a full 16"" width for the driver, with deep bucket styling to keep you planted in a comfortable cruising position. The included back rest provides perfect support for those long rides.

Features:

• 16"" width

• Adjustable and removable backrest

• Deep bucket styling

• High-quality metal seat pan

• Recessed passenger seat available to accommodate backrest (sold separately)

• Made in the USA",72500,,2026-07-26,active,Mustang,7000,g,Mustang Touring Solo Seat With Driver Backrest For Harley Soft…,"Mustang's Wide Touring solo with driver's backrest provides a full 16"" width for the driver, with deep bucket styling to keep you planted in a… 16"" width.…","16"" width | Adjustable and removable backrest | Deep bucket styling | High-quality metal seat pan",Cleaned noise; brand verified,High,false,Motorcycle Accessories > Seats,High,"Mapped from Shopify Type ""seat""",mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob-1|Default Title|price:72500.00|compare:|weight:7000|barcode:|qty:0,mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_touring_solo_seat_with_driver_backrest_for_harley_softail_fat_bob2018_black_750x750_a55e8372-0e1d-460a-bb89-27ebe0cbe6a4.jpg?v=1598419076|pos:1|alt:Mustang Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob – front view,1,Mustang Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob – front view,use:touring,1,Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob,"Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob. Mustang's Wide Touring solo with driver's backrest provides a full 16"" width for the driver, with deep bucket styling to keep you planted in a… • 16"" width.",,,"16"" width. Adjustable and removable backrest. Deep bucket styling. High-quality metal seat pan.",,,Mustang Touring Solo Seat With Driver Backrest For Harley Softail Fat Bob — a seat built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_touring_solo_seat_with_driver_backrest_for_harley_softail_fat_bob2018_black_750x750_a55e8372-0e1d-460a-bb89-27ebe0cbe6a4.jpg?v=1598419076|role:hero,1,false,/products/mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob,/products/mustang-touring-solo-seat-with-driver-backrest-for-harley-softail-fat-bob
mustang-solo-seat-for-harley-softail-milwaukee-eight,mustang-solo-seat-for-harley-softail-milwaukee-eight,Mustang Solo Seat For Harley Softail Milwaukee Eight,Mustang Solo Seat For Harley Softail Milwaukee Eight,mustang-solo-seat-for-harley-softail-milwaukee-eight,Pre Order Import on Order only • Narrow cut at nose makes it easier to reach the ground. • Lightweight marine-grade baseplate. • High-quality expanded vinyl cover. • Optional driver backrest is easily removed without tools and fully adjustable.,"[des]
<div class=""delivery_oder"">
<p><strong>Pre Order </strong><span> Import on Order only</span></p>
<p><strong>Delivery Time</strong> 25-30<span> Days</span></p>
</div>
<p>[/des]</p>
<p>Mustang brings much-needed comfort and style to those stuck on a factory saddle. These solo seats are wide and deep, made for miles of comfort.</p>
<h3>Features:</h3>
<ul>
<li>Narrow cut at nose makes it easier to reach the ground</li>
<li>Lightweight marine-grade baseplate</li>
<li>High-quality expanded vinyl cover</li>
<li>Optional driver backrest is easily removed without tools and fully adjustable</li>
<li>Made in the USA</li>
</ul>","[des]

Pre Order  Import on Order only

Delivery Time 25-30 Days

[/des]

Mustang brings much-needed comfort and style to those stuck on a factory saddle. These solo seats are wide and deep, made for miles of comfort.

Features:

• Narrow cut at nose makes it easier to reach the ground

• Lightweight marine-grade baseplate

• High-quality expanded vinyl cover

• Optional driver backrest is easily removed without tools and fully adjustable

• Made in the USA",77000,,2026-07-26,active,Mustang,7000,g,Mustang Solo Seat For Harley Softail Milwaukee Eight | Mile 27…,Pre Order Import on Order only Narrow cut at nose makes it easier to reach the ground. Lightweight marine-grade baseplate. High-quality expanded vinyl…,Narrow cut at nose makes it easier to reach the ground | Lightweight marine-grade baseplate | High-quality expanded vinyl cover | Optional driver backrest is easily removed without tools and fully adjustable,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Seats,High,"Refined by title keyword: ""\b(seat\b(?!cover))\b""",mustang-solo-seat-for-harley-softail-milwaukee-eight-1|Default Title|price:77000.00|compare:|weight:7000|barcode:|qty:0,mustang-solo-seat-for-harley-softail-milwaukee-eight-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail20182019_750x750_a126359a-b237-419f-acda-fd86e5d57d8b.jpg?v=1598937850|pos:1|alt:Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail_fat_boy20182019_750x750_1.jpg?v=1598937850|pos:2|alt:Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail_fat_boy20182019_750x750_7e1d78e0-a007-45be-bc31-0acb2db04432.jpg?v=1598937850|pos:3|alt:Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail_low_rider_sport_glide20182019_750x750_1b6c8df4-bd82-4e01-81f7-ddc9e5c0d9b4.jpg?v=1598937851|pos:4|alt:Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – detail view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_standard_touring_solo_seat_with_driver_backrest_for_harley_softail_low_rider_sport_glide2018_750x750_ba74c8a1-4799-47cb-b13d-1ac5a6972783.jpg?v=1598937851|pos:5|alt:Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – top view,5,Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – front view | Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – side view | Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – rear view | Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – detail view | Mustang Mustang Solo Seat For Harley Softail Milwaukee Eight – top view,,0,Mustang Solo Seat For Harley Softail Milwaukee Eight,Mustang Solo Seat For Harley Softail Milwaukee Eight. Pre Order Import on Order only • Narrow cut at nose makes it easier to reach the ground.,,Lightweight marine-grade baseplate.,Narrow cut at nose makes it easier to reach the ground. High-quality expanded vinyl cover. Optional driver backrest is easily removed without tools and fully adjustable.,,,Mustang Solo Seat For Harley Softail Milwaukee Eight — a seat built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail20182019_750x750_a126359a-b237-419f-acda-fd86e5d57d8b.jpg?v=1598937850|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail_fat_boy20182019_750x750_1.jpg?v=1598937850|role:construction detail || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mustang_solo_seat_for_harley_softail_fat_boy20182019_750x750_7e1d78e0-a007-45be-bc31-0acb2db04432.jpg?v=1598937850|role:side profile,3,false,/products/mustang-solo-seat-for-harley-softail-milwaukee-eight,/products/mustang-solo-seat-for-harley-softail-milwaukee-eight
ford-mustang-cap-style-1,ford-mustang-cap-style-1,Ford Mustang Cap (Style 1),Ford Mustang Cap (Style 1),ford-mustang-cap-style-1,• 100% Cotton • 100% Cotton. • The highlight of this American Needle mens cap is the micro embroidered logo affixed and arranged on the front panel. • This mens hat is constructed with premium washed cotton. • The body of the baseball hat consists of a unstructured crown.,"<meta charset=""utf-8"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"" data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">100% Cotton</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">The highlight of this American Needle mens cap is the micro embroidered logo affixed and arranged on the front panel</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">This mens hat is constructed with premium washed cotton</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">The body of the baseball hat consists of a unstructured crown</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Details on fitted hat include a curved brim with a self adjustable fabric strap</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Through their continued emphasis on leadership, craftsmanship, individuality and the heritage of their trade, American Needle proudly offers the finest collection of headwear out there</span></li>
</ul>","• 100% Cotton

• The highlight of this American Needle mens cap is the micro embroidered logo affixed and arranged on the front panel

• This mens hat is constructed with premium washed cotton

• The body of the baseball hat consists of a unstructured crown

• Details on fitted hat include a curved brim with a self adjustable fabric strap

• Through their continued emphasis on leadership, craftsmanship, individuality and the heritage of their trade, American Needle proudly offers the finest collection of headwear out there",3600,,2026-07-26,active,Mustang,1000,g,Buy Ford Mustang Cap (Style 1) | Mile 27 Store,100% Cotton 100% Cotton. The highlight of this American Needle mens cap is the micro embroidered logo affixed and arranged on the front panel. This mens…,100% Cotton | The highlight of this American Needle mens cap is the micro embroidered logo affixed and arranged on the front panel | This mens hat is constructed with premium washed cotton | The body of the baseball hat consists of a unstructured crown,Cleaned noise; brand verified,High,false,Apparel > Caps,High,"Mapped from Shopify Type ""Caps""",ford-mustang-cap-style-1-1|Default Title|price:3600.00|compare:|weight:1000|barcode:|qty:0,ford-mustang-cap-style-1-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/61vcoCy6PYL._AC_UL1024.jpg?v=1625144746|pos:1|alt:Mustang Ford Mustang Cap (Style 1) – front view,1,Mustang Ford Mustang Cap (Style 1) – front view,,0,Mustang Ford Mustang Cap (Style 1),Mustang Ford Mustang Cap (Style 1). • 100% Cotton • 100% Cotton.,,,100% Cotton. The highlight of this American Needle mens cap is the micro embroidered logo affixed and arranged on the front panel. This mens hat is constructed with premium washed cotton. The body of the baseball hat consists of a unstructured crown.,,,Mustang Ford Mustang Cap (Style 1) — a cap built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/61vcoCy6PYL._AC_UL1024.jpg?v=1625144746|role:hero,1,false,/products/ford-mustang-cap-style-1,/products/ford-mustang-cap-style-1
mustang-cap-style-2,mustang-cap-style-2,Mustang Cap (Style 2),Mustang Cap (Style 2),mustang-cap-style-2,"Cap Description:Solid color design makes them perfect as lover's cap for couples, hat for friends.Made by high-quality and breathable cotton fabric, provides soft and comfortable…","<meta charset=""utf-8""><span data-mce-fragment=""1"">Cap Description:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Solid color design makes them perfect as lover's cap for couples, hat for friends.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Made by high-quality and breathable cotton fabric, provides soft and comfortable hands feeling for you.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Great for many outdoor activities like hiking, climbing, fishing and camping.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Please allow little errors on sizes due to different manual measurement.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Get the must-have of this season: Whether you’re looking for a fashionable sports hat for your outdoor adventures, workout routines or simply for adding a finishing touch to your casual outfits, this baseball has got you covered. Combining top quality, functionality and unmatched style, they are this season must-have.</span>","Cap Description:Solid color design makes them perfect as lover's cap for couples, hat for friends.Made by high-quality and breathable cotton fabric, provides soft and comfortable hands feeling for you.Great for many outdoor activities like hiking, climbing, fishing and camping.Please allow little errors on sizes due to different manual measurement.Get the must-have of this season: Whether you’re looking for a fashionable sports hat for your outdoor adventures, workout routines or simply for adding a finishing touch to your casual outfits, this baseball has got you covered. Combining top quality, functionality and unmatched style, they are this season must-have.",2300,,2026-07-26,active,Mustang,1000,g,Buy Mustang Cap (Style 2) | Mile 27 Store,"Cap Description:Solid color design makes them perfect as lover's cap for couples, hat for friends.Made by high-quality and breathable cotton fabric,…",,Cleaned noise; brand verified,High,false,Apparel > Caps,High,"Mapped from Shopify Type ""Caps""",mustang-cap-style-2-1|Default Title|price:2300.00|compare:|weight:1000|barcode:|qty:0,mustang-cap-style-2-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/31DWnTulcHL._AC.jpg?v=1625144999|pos:1|alt:Mustang Mustang Cap (Style 2) – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/31PGVvfwOUS._AC.jpg?v=1625144999|pos:2|alt:Mustang Mustang Cap (Style 2) – side view,2,Mustang Mustang Cap (Style 2) – front view | Mustang Mustang Cap (Style 2) – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/mustang-cap-style-2,/products/mustang-cap-style-2
mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016,mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016,Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016,Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016,mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016,"Available with or without a fully adjustable and easily removable built-in driver backrest, Mustang's Wide Touring Solo places the rider at a similar position to… Available in multiple sizes and/or colours — select your variant.","<p><span>Available with or without a fully adjustable and easily removable built-in driver backrest, Mustang's Wide Touring Solo places the rider at a similar position to stock but provides extra width in the hip area for added comfort. Features a full 17.5"" width for the driver with deep bucket styling to keep you planted in a comfortable cruising position and provide excellent back support. Matching 14"" wide passenger seats provide ultra comfortable 2-up riding. Recessed passenger seats are designed for use with the built-in driver backrest.</span></p>
<p><span>Note: Solos and passenger seats will not fit with stock solos or passenger seats.</span></p>","Available with or without a fully adjustable and easily removable built-in driver backrest, Mustang's Wide Touring Solo places the rider at a similar position to stock but provides extra width in the hip area for added comfort. Features a full 17.5"" width for the driver with deep bucket styling to keep you planted in a comfortable cruising position and provide excellent back support. Matching 14"" wide passenger seats provide ultra comfortable 2-up riding. Recessed passenger seats are designed for use with the built-in driver backrest.

Note: Solos and passenger seats will not fit with stock solos or passenger seats.",75000,,2026-07-26,active,Mustang,7000,g,Mustang Tourer Rider Seat With Back Rest for Harley-Davidson F…,"Available with or without a fully adjustable and easily removable built-in driver backrest, Mustang's Wide Touring Solo places the rider at a similar…",,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Seats,High,"Mapped from Shopify Type ""seat""",mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-1|Color/type:Black with Driver Backrest:Pattern/accent:Smooth Chrome-Studded and Conchos|price:108000.00|compare:|weight:7000|barcode:|qty:0 | mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-2|Color/type:Black with Driver Backrest:Pattern/accent:Smooth|price:105000.00|compare:|weight:7000|barcode:|qty:0 | mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-3|Color/type:Black without Driver Backrest:Pattern/accent:Smooth Chrome-Studded and Conchos|price:78000.00|compare:|weight:7000|barcode:|qty:0 | mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-4|Color/type:Black without Driver Backrest:Pattern/accent:Smooth|price:75000.00|compare:|weight:7000|barcode:|qty:0,"mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-1,mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-2,mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-3,mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/files/29881_1350x900_RGB_72DPI.webp?v=1784552254|pos:1|alt:Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/files/23360_1350x900_RGB_72DPI_32f05736-299d-4c2f-bfcd-6f9d6c5f32b0.webp?v=1784552254|pos:2|alt:Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/files/28451_648x432_RGB_72DPI.avif?v=1784552254|pos:3|alt:Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/files/29885_648x432_RGB_72DPI.webp?v=1784552254|pos:4|alt:Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – detail view,4,Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – front view | Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – side view | Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – rear view | Mustang Mustang Tourer Rider Seat With Back Rest for Harley-Davidson Fat Boy 2016 – detail view,,0,,,,,,,,,false,not_eligible,,0,false,/products/mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016,/products/mustang-tourer-rider-seat-with-back-rest-for-harley-davidson-fat-boy-2016
