migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
joe-rocket-manta-carbon-tank-bag,joe-rocket-manta-carbon-tank-bag,Joe Rocket Manta Carbon Tank Bag,Joe Rocket Manta Carbon Tank Bag,joe-rocket-manta-carbon-tank-bag,"Joe Rocket Manta Carbon Tank Bag • Wind/water resistant Rock Tex 680 construction. • Magnetic mount system. • Belt buckle guard. • External, quick access smart phone pocket.","<h3>Joe Rocket Manta Carbon Tank Bag</h3>
The ultra versatile Joe Rocket Manta Carbon Tank Bag features a magnetic mounting system, quick access mobile phone pocket, and a hidden rain cover.<br><br>
<h3>Features:</h3>
<ul>
<li>Wind/water resistant Rock Tex 680 construction</li>
<li>Magnetic mount system</li>
<li>Belt buckle guard</li>
<li>External, quick access smart phone pocket</li>
<li>Removable shoulder strap</li>
<li>Hidden rain cover</li>
<li>Reflective piping</li>
</ul>","Joe Rocket Manta Carbon Tank Bag

The ultra versatile Joe Rocket Manta Carbon Tank Bag features a magnetic mounting system, quick access mobile phone pocket, and a hidden rain cover.

Features:

• Wind/water resistant Rock Tex 680 construction

• Magnetic mount system

• Belt buckle guard

• External, quick access smart phone pocket

• Removable shoulder strap

• Hidden rain cover

• Reflective piping",7000,,2026-07-26,active,Joe Rocket,3000,g,Buy Joe Rocket Manta Carbon Tank Bag | Mile 27 Store,"Joe Rocket Manta Carbon Tank Bag Wind/water resistant Rock Tex 680 construction. Magnetic mount system. Belt buckle guard. External, quick access smart…","Wind/water resistant Rock Tex 680 construction | Magnetic mount system | Belt buckle guard | External, quick access smart phone pocket",Cleaned noise; brand verified,High,false,Motorcycle Accessories > Luggage > Tank Bags,High,"Refined by title keyword: ""\b(tank\s+bag)\b""",joe-rocket-manta-carbon-tank-bag-1|Default Title|price:7000.00|compare:|weight:3000|barcode:|qty:0,joe-rocket-manta-carbon-tank-bag-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_manta_xl_carbon_tank_bag_black_carbon_750x750_1.jpg?v=1542342785|pos:1|alt:Joe Rocket Joe Rocket Manta Carbon Tank Bag – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_manta_xl_carbon_tank_bag_black_carbon_750x750_41eed017-e319-42a0-8075-596e16bb2944.jpg?v=1542342787|pos:2|alt:Joe Rocket Joe Rocket Manta Carbon Tank Bag – side view,2,Joe Rocket Joe Rocket Manta Carbon Tank Bag – front view | Joe Rocket Joe Rocket Manta Carbon Tank Bag – side view,,0,Joe Rocket Manta Carbon Tank Bag,Joe Rocket Manta Carbon Tank Bag. Joe Rocket Manta Carbon Tank Bag • Wind/water resistant Rock Tex 680 construction.,Wind/water resistant Rock Tex 680 construction.,,"Magnetic mount system. Belt buckle guard. External, quick access smart phone pocket.",,,Joe Rocket Manta Carbon Tank Bag — a tank Bag built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_manta_xl_carbon_tank_bag_black_carbon_750x750_1.jpg?v=1542342785|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_manta_xl_carbon_tank_bag_black_carbon_750x750_41eed017-e319-42a0-8075-596e16bb2944.jpg?v=1542342787|role:construction detail,2,false,/products/joe-rocket-manta-carbon-tank-bag,/products/joe-rocket-manta-carbon-tank-bag
joe-rocket-speedmaster-2-0-back-protector-lg,joe-rocket-speedmaster-2-0-back-protector-lg,Joe Rocket Speedmaster 2.0 Back Protector - LG,Joe Rocket Speedmaster 2.0 Back Protector - LG,joe-rocket-speedmaster-2-0-back-protector-lg,"To achieve maximum protection without sacrificing mobility, the Joe Rocket Speedmaster 2.0 replaces rigid plastic with a combination of 3D sculpted and articulated high density…","<span>To achieve maximum protection without sacrificing mobility, the Joe Rocket Speedmaster 2.0 replaces rigid plastic with a combination of 3D sculpted and articulated high density foam armor, impact and shock absorbing ventilated foam backing, slim sculpture design and ample adjustability; making this one of the most comfortable and non-restrictive back protectors available today.</span>","To achieve maximum protection without sacrificing mobility, the Joe Rocket Speedmaster 2.0 replaces rigid plastic with a combination of 3D sculpted and articulated high density foam armor, impact and shock absorbing ventilated foam backing, slim sculpture design and ample adjustability; making this one of the most comfortable and non-restrictive back protectors available today.",9000,11000,2026-07-26,active,Joe Rocket,3000,g,Joe Rocket Speedmaster 2.0 Back Protector - LG | Mile 27 Store,"To achieve maximum protection without sacrificing mobility, the Joe Rocket Speedmaster 2.0 replaces rigid plastic with a combination of 3D sculpted and…",,Cleaned noise; brand verified,High,false,Riding Gear > Protection > Back Protectors,High,"Refined by title keyword: ""\b(back\s+protector|spine\s+protector)\b""",joe-rocket-speedmaster-2-0-back-protector-lg-1|Default Title|price:9000.00|compare:11000.00|weight:3000|barcode:|qty:0,joe-rocket-speedmaster-2-0-back-protector-lg-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_speedmaster20_back_protector_750x750_72e4847f-5e04-4453-aaea-e05548396572.jpg?v=1542606562|pos:1|alt:Joe Rocket Joe Rocket Speedmaster 2.0 Back Protector - LG – front view,1,Joe Rocket Joe Rocket Speedmaster 2.0 Back Protector - LG – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/joe-rocket-speedmaster-2-0-back-protector-lg,/products/joe-rocket-speedmaster-2-0-back-protector-lg
joe-rocket-old-school-leather-jacket,joe-rocket-old-school-leather-jacket,Joe Rocket Old School Leather Jacket,Joe Rocket Old School Leather Jacket,joe-rocket-old-school-leather-jacket,"Joe Rocket Old School Leather Jacket • 0mm to 1.2mm drum dyed leather. • Comfortable relaxed fit. • Variable-Flow ventilation system in torso, sleeves and back. • 5mm high density padding in elbows and shoulders. Available in multiple sizes and/or colours — select your variant.","<h3>Joe Rocket Old School Leather Jacket</h3>
Being relaxed never looked so good as with the Joe Rocket Old School Leather Jacket. This drum dyed leather jacket offers Joe Rocket’s Variable Flow ventilation system, a removable full-sleeve quilted liner for warmth and an adjustable waist for a more custom fit. <br><br>
<h3>Features</h3>
<ul>
<li>1.0mm to 1.2mm drum dyed leather</li>
<li>Comfortable relaxed fit</li>
<li>Variable-Flow ventilation system in torso, sleeves and back</li>
<li>5mm high density padding in elbows and shoulders</li>
<li>Removable quilted full sleeve liner</li>
<li>Adjustable waist</li>
<li>Reflective stripe</li>
<li>Microfiber lined</li>
</ul>
<strong>Note:</strong> Jacket was formerly named the ""Joe Rocket Roadster Jacket"" - it has been renamed the ""Joe Rocket Old School Jacket."" The jacket now has Rocket embroidered in black at the right hip and above the ivory strip on the back.","Joe Rocket Old School Leather Jacket

Being relaxed never looked so good as with the Joe Rocket Old School Leather Jacket. This drum dyed leather jacket offers Joe Rocket’s Variable Flow ventilation system, a removable full-sleeve quilted liner for warmth and an adjustable waist for a more custom fit. 

Features

• 1.0mm to 1.2mm drum dyed leather

• Comfortable relaxed fit

• Variable-Flow ventilation system in torso, sleeves and back

• 5mm high density padding in elbows and shoulders

• Removable quilted full sleeve liner

• Adjustable waist

• Reflective stripe

• Microfiber lined

Note: Jacket was formerly named the ""Joe Rocket Roadster Jacket"" - it has been renamed the ""Joe Rocket Old School Jacket."" The jacket now has Rocket embroidered in black at the right hip and above the ivory strip on the back.",39000,,2026-07-26,active,Joe Rocket,6000,g,Buy Joe Rocket Old School Leather Jacket | Mile 27 Store,"Joe Rocket Old School Leather Jacket 0mm to 1.2mm drum dyed leather. Comfortable relaxed fit. Variable-Flow ventilation system in torso, sleeves and back.…","0mm to 1.2mm drum dyed leather | Comfortable relaxed fit | Variable-Flow ventilation system in torso, sleeves and back | 5mm high density padding in elbows and shoulders",Cleaned noise; brand verified,High,false,Riding Gear > Riding Jackets > Leather Jackets,High,"Refined by title keyword: ""\bleather\s+jacket\b""",joe-rocket-old-school-leather-jacket-1|Size:SM:Colour:Yellow/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-2|Size:SM:Colour:Black/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-3|Size:SM:Colour:Red/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-4|Size:MD:Colour:Yellow/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-5|Size:MD:Colour:Black/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-6|Size:MD:Colour:Red/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-7|Size:LG:Colour:Yellow/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-8|Size:LG:Colour:Black/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-9|Size:LG:Colour:Red/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-10|Size:XL:Colour:Yellow/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-11|Size:XL:Colour:Black/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-12|Size:XL:Colour:Red/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-13|Size:XXL:Colour:Yellow/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-14|Size:XXL:Colour:Black/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-15|Size:XXL:Colour:Red/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-16|Size:XXXL:Colour:Yellow/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-17|Size:XXXL:Colour:Black/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0 | joe-rocket-old-school-leather-jacket-18|Size:XXXL:Colour:Red/Black/Ivory|price:39000.00|compare:|weight:6000|barcode:|qty:0,"joe-rocket-old-school-leather-jacket-1,joe-rocket-old-school-leather-jacket-2,joe-rocket-old-school-leather-jacket-3,joe-rocket-old-school-leather-jacket-4,joe-rocket-old-school-leather-jacket-5,joe-rocket-old-school-leather-jacket-6,joe-rocket-old-school-leather-jacket-7,joe-rocket-old-school-leather-jacket-8,joe-rocket-old-school-leather-jacket-9,joe-rocket-old-school-leather-jacket-10,joe-rocket-old-school-leather-jacket-11,joe-rocket-old-school-leather-jacket-12,joe-rocket-old-school-leather-jacket-13,joe-rocket-old-school-leather-jacket-14,joe-rocket-old-school-leather-jacket-15,joe-rocket-old-school-leather-jacket-16,joe-rocket-old-school-leather-jacket-17,joe-rocket-old-school-leather-jacket-18",18,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_black_black_ivory_750x750_7bb9dfae-948e-4fe7-9c8d-ad959ffc19df.jpg?v=1543409066|pos:1|alt:Joe Rocket Joe Rocket Old School Leather Jacket – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_black_black_ivory_750x750_1.jpg?v=1543409067|pos:2|alt:Joe Rocket Joe Rocket Old School Leather Jacket – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_red_black_ivory_750x750_657c3668-20c5-4e29-951f-cad26e83b170.jpg?v=1543409068|pos:3|alt:Joe Rocket Joe Rocket Old School Leather Jacket – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_red_black_ivory_750x750_1.jpg?v=1543409069|pos:4|alt:Joe Rocket Joe Rocket Old School Leather Jacket – detail view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_yellow_black_ivory_750x750_a0175f20-9ab1-4bd2-b7cc-ad96c2561606.jpg?v=1543409070|pos:5|alt:Joe Rocket Joe Rocket Old School Leather Jacket – top view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_yellow_black_ivory_750x750_1.jpg?v=1543409072|pos:6|alt:Joe Rocket Joe Rocket Old School Leather Jacket – product view,6,Joe Rocket Joe Rocket Old School Leather Jacket – front view | Joe Rocket Joe Rocket Old School Leather Jacket – side view | Joe Rocket Joe Rocket Old School Leather Jacket – rear view | Joe Rocket Joe Rocket Old School Leather Jacket – detail view | Joe Rocket Joe Rocket Old School Leather Jacket – top view | Joe Rocket Joe Rocket Old School Leather Jacket – product view,,0,Joe Rocket Old School Leather Jacket,Joe Rocket Old School Leather Jacket. Joe Rocket Old School Leather Jacket • 0mm to 1.2mm drum dyed leather.,0mm to 1.2mm drum dyed leather.,"Comfortable relaxed fit. Variable-Flow ventilation system in torso, sleeves and back. 5mm high density padding in elbows and shoulders.",,,Available in multiple sizes. Check the size guide before ordering.,Joe Rocket Old School Leather Jacket — a leather Jacket built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_black_black_ivory_750x750_7bb9dfae-948e-4fe7-9c8d-ad959ffc19df.jpg?v=1543409066|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_black_black_ivory_750x750_1.jpg?v=1543409067|role:construction detail || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/joe_rocket_old_school_leather_jacket_red_black_ivory_750x750_657c3668-20c5-4e29-951f-cad26e83b170.jpg?v=1543409068|role:side profile,3,false,/products/joe-rocket-old-school-leather-jacket,/products/joe-rocket-old-school-leather-jacket
