migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
hotbodies-rear-tire-hugger-for-kawasaki-zx-10r,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r,Hotbodies Rear Tire Hugger for Kawasaki ZX-10R,Hotbodies Rear Tire Hugger for Kawasaki ZX-10R,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r,Hot Bodies Rear Tire Huggers are the perfect accessory to any sportbike. They not only look great and give you some extra color by the… • Matching OEM colors. • Constructed of durable ABS plastic. • Direct OEM fitment. • Made in the USA. Available in multiple sizes and/or colours — select your variant.,"<p>Hot Bodies Rear Tire Huggers are the perfect accessory to any sportbike. They not only look great and give you some extra color by the rear wheel, but they also help keep your bike looking clean by protecting the undertail and the shock linkages from road dirt. All Huggers can be installed in minutes and require no modifications to the bike.</p>
<h3>Features:</h3>
<ul>
<li>Matching OEM colors</li>
<li>Constructed of durable ABS plastic</li>
<li>Direct OEM fitment</li>
<li>Made in the USA</li>
</ul>","Hot Bodies Rear Tire Huggers are the perfect accessory to any sportbike. They not only look great and give you some extra color by the rear wheel, but they also help keep your bike looking clean by protecting the undertail and the shock linkages from road dirt. All Huggers can be installed in minutes and require no modifications to the bike.

Features:

• Matching OEM colors

• Constructed of durable ABS plastic

• Direct OEM fitment

• Made in the USA",31200,,2026-07-26,active,Hotbodies,3000,g,Hotbodies Rear Tire Hugger for Kawasaki ZX-10R | Mile 27 Store,Hot Bodies Rear Tire Huggers are the perfect accessory to any sportbike. They not only look great and give you some extra color by the… Matching OEM…,Matching OEM colors | Constructed of durable ABS plastic | Direct OEM fitment | Made in the USA,Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""Bike Parts""",hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-1|Colour:Black|price:31200.00|compare:|weight:3000|barcode:|qty:0 | hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-2|Colour:White|price:31200.00|compare:|weight:3000|barcode:|qty:0 | hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-3|Colour:Matte Carbon Grey|price:31200.00|compare:|weight:3000|barcode:|qty:0 | hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-4|Colour:Passion Red|price:31200.00|compare:|weight:3000|barcode:|qty:0 | hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-5|Colour:Green|price:31200.00|compare:|weight:3000|barcode:|qty:0 | hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-6|Colour:Flat Ebony|price:31200.00|compare:|weight:3000|barcode:|qty:0,"hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-1,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-2,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-3,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-4,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-5,hotbodies-rear-tire-hugger-for-kawasaki-zx-10r-6",6,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/hotbodies_rear_tire_hugger_kawasaki_zx10_r20112013_green_1800x1800_1.jpg?v=1574053874|pos:1|alt:Hotbodies Hotbodies Rear Tire Hugger for Kawasaki ZX-10R – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/hotbodies_rear_tire_hugger_kawasaki_zx10_r20112013_green_1800x1800_0e8ce69a-e579-40c0-894a-b8759e711dfc.jpg?v=1574053874|pos:2|alt:Hotbodies Hotbodies Rear Tire Hugger for Kawasaki ZX-10R – side view,2,Hotbodies Hotbodies Rear Tire Hugger for Kawasaki ZX-10R – front view | Hotbodies Hotbodies Rear Tire Hugger for Kawasaki ZX-10R – side view,,0,Hotbodies Rear Tire Hugger for Kawasaki ZX-10R,Hotbodies Rear Tire Hugger for Kawasaki ZX-10R. Hot Bodies Rear Tire Huggers are the perfect accessory to any sportbike.,Constructed of durable ABS plastic.,,Matching OEM colors. Direct OEM fitment. Made in the USA.,,Multiple colour options available.,Hotbodies Rear Tire Hugger for Kawasaki ZX-10R — a motorcycle Accessory built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/hotbodies_rear_tire_hugger_kawasaki_zx10_r20112013_green_1800x1800_1.jpg?v=1574053874|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/hotbodies_rear_tire_hugger_kawasaki_zx10_r20112013_green_1800x1800_0e8ce69a-e579-40c0-894a-b8759e711dfc.jpg?v=1574053874|role:construction detail,2,false,/products/hotbodies-rear-tire-hugger-for-kawasaki-zx-10r,/products/hotbodies-rear-tire-hugger-for-kawasaki-zx-10r
hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r,hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r,Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R,Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R,hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r,Pre Order Import on Order only • CNC machined from T6 6061 billet aluminum. • Fully adjustable to suit your riding style. • Includes brake return spring. • Supports OEM brake light switch.,"[des]
<div class=""delivery_oder"">
<p><strong>Pre Order </strong><span> Import on Order only</span></p>
<p><strong>Delivery Time</strong> 25-30<span> Days</span></p>
</div>
<p>[/des]</p>
<p>Hotbodies Racing Rearsets feature a durable anodized finish, multiple adjustment points and accommodations for your OEM brake light switch. They are CNC machined from billet aluminum and will improve your bike's cornering clearance while giving it a more custom look.  </p>
<h3>Features:</h3>
<ul>
<li>CNC machined from T6 6061 billet aluminum</li>
<li>Fully adjustable to suit your riding style</li>
<li>Includes brake return spring</li>
<li>Supports OEM brake light switch</li>
<li>Knurled foot pegs with plastic caps</li>
<li>Most applications can be converted to GP shift</li>
<li>Complete kit - no additional parts required</li>
<li>Ships fully assembled</li>
</ul>","[des]

Pre Order  Import on Order only

Delivery Time 25-30 Days

[/des]

Hotbodies Racing Rearsets feature a durable anodized finish, multiple adjustment points and accommodations for your OEM brake light switch. They are CNC machined from billet aluminum and will improve your bike's cornering clearance while giving it a more custom look.  

Features:

• CNC machined from T6 6061 billet aluminum

• Fully adjustable to suit your riding style

• Includes brake return spring

• Supports OEM brake light switch

• Knurled foot pegs with plastic caps

• Most applications can be converted to GP shift

• Complete kit - no additional parts required

• Ships fully assembled",47000,,2026-07-26,active,Hotbodies,6000,g,Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R | …,Pre Order Import on Order only CNC machined from T6 6061 billet aluminum. Fully adjustable to suit your riding style. Includes brake return spring.…,CNC machined from T6 6061 billet aluminum | Fully adjustable to suit your riding style | Includes brake return spring | Supports OEM brake light switch,Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""Bike Parts""",hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r-1|Default Title|price:47000.00|compare:|weight:6000|barcode:|qty:0,hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/hotbodies_racing_mgp_adjustable_rear_sets_zx6_r0916_black_750x750_1c818557-ec4b-4cfb-95be-1b980e56e4bc.jpg?v=1615786416|pos:1|alt:Hotbodies Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R – front view,1,Hotbodies Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R – front view,,0,Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R,Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R. Pre Order Import on Order only • CNC machined from T6 6061 billet aluminum.,CNC machined from T6 6061 billet aluminum.,,Fully adjustable to suit your riding style. Includes brake return spring. Supports OEM brake light switch.,,,Hotbodies Racing MGP Adjustable Rearsets for Kawasaki ZX-6R — a motorcycle Accessory built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/hotbodies_racing_mgp_adjustable_rear_sets_zx6_r0916_black_750x750_1c818557-ec4b-4cfb-95be-1b980e56e4bc.jpg?v=1615786416|role:hero,1,false,/products/hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r,/products/hotbodies-racing-mgp-adjustable-rearsets-for-kawasaki-zx-6r
hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18,hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18,Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18,Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18,hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18,The Triumph 675R is the world famed triple from across the pond. Inspiring confidence in today’s race competitors this sportbike lives up to its racing… • 100% Customer Satisfaction Guarantee!. • Lightest bodywork available on the market.. • Four-harness fiberglass fabric for extra durability.. • Ultra Flexible for easy installation..,"<p data-mce-fragment=""1"">The Triumph 675R is the world famed triple from across the pond. Inspiring confidence in today’s race competitors this sportbike lives up to its racing heritage. This mind blowing street machine is easily converted into a track day weapon, thanks to Hotbodies Racing’s world class race bodywork.</p>
<p data-mce-fragment=""1"">Top Factory supported teams choose Hotbodies Racing bodywork for one reason; to win races and championships. There is no compromising in professional competition. Our high-quality bodywork not only performs to rigorous standards, it’s priced for a privateer’s budget.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">100% Customer Satisfaction Guarantee!</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lightest bodywork available on the market.</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Four-harness fiberglass fabric for extra durability.</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Ultra Flexible for easy installation.</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Kevlar reinforced mounting areas.</span></li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1"">Finished in an automotive grade urethane primer.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Light Gray on the outside, black on the inside.</span>
</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">AMA/WSBK Spec oil containment belly pan.</span></li>
</ul>","The Triumph 675R is the world famed triple from across the pond. Inspiring confidence in today’s race competitors this sportbike lives up to its racing heritage. This mind blowing street machine is easily converted into a track day weapon, thanks to Hotbodies Racing’s world class race bodywork.

Top Factory supported teams choose Hotbodies Racing bodywork for one reason; to win races and championships. There is no compromising in professional competition. Our high-quality bodywork not only performs to rigorous standards, it’s priced for a privateer’s budget.

Features:

• 100% Customer Satisfaction Guarantee!

• Lightest bodywork available on the market.

• Four-harness fiberglass fabric for extra durability.

• Ultra Flexible for easy installation.

• Kevlar reinforced mounting areas.

• 
Finished in an automotive grade urethane primer.Light Gray on the outside, black on the inside.

• AMA/WSBK Spec oil containment belly pan.",16000,,2026-07-26,active,Hotbodies,7000,g,Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2…,The Triumph 675R is the world famed triple from across the pond. Inspiring confidence in today’s race competitors this sportbike lives up to its racing……,100% Customer Satisfaction Guarantee! | Lightest bodywork available on the market. | Four-harness fiberglass fabric for extra durability. | Ultra Flexible for easy installation.,Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""Bike Parts""",hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-1|Set Or Component:Race Front Fender|price:16000.00|compare:|weight:7000|barcode:|qty:0 | hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-2|Set Or Component:Race Tail|price:30000.00|compare:|weight:7000|barcode:|qty:0 | hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-3|Set Or Component:Race Lower|price:36000.00|compare:|weight:7000|barcode:|qty:0 | hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-4|Set Or Component:Race Upper|price:43000.00|compare:|weight:7000|barcode:|qty:0 | hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-5|Set Or Component:Race Bodywork Set|price:145000.00|compare:|weight:7000|barcode:|qty:0,"hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-1,hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-2,hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-3,hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-4,hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18-5",5,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-1.png?v=1661174409|pos:1|alt:Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-2.png?v=1661174409|pos:2|alt:Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-4.png?v=1661174409|pos:3|alt:Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-5.png?v=1661174409|pos:4|alt:Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – detail view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-6.png?v=1661174408|pos:5|alt:Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – top view,5,Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – front view | Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – side view | Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – rear view | Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – detail view | Hotbodies Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 – top view,use:track,1,Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18,Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18. The Triumph 675R is the world famed triple from across the pond.,Four-harness fiberglass fabric for extra durability.,,100% Customer Satisfaction Guarantee!. Lightest bodywork available on the market. Ultra Flexible for easy installation.,,,Hotbodies Race Bodywork Primer Gray for Triumph Daytona 675R 2013-18 — a motorcycle Accessory built to the specifications listed above.,true,draft,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-1.png?v=1661174409|role:hero || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-2.png?v=1661174409|role:construction detail || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/triumph_675R_13-15_race_bodywork-4.png?v=1661174409|role:side profile,3,false,/products/hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18,/products/hotbodies-race-bodywork-primer-gray-for-triumph-daytona-675r-2013-18
